product_code;product_name;product_detail;merk;type;product_type;stock;product_unit;location_detail;location;created_by;updated_by
706-GLU;Gula;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-HCL;HCl 37%;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-PHP;Potasium Hydrogen Phospate;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-MNS;Mangan Sulfat;MnSO4;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-MTL;Metanol Teknis;CH3OH;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-CCH;Cobalt Chloride;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-WPM;WPM;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-ALK;Alkohol;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-MMS;Media MS (Murashige and Skoog);;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-DCA;2,4 Dichlorophenoxyacetic Acid;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-KNO;Kalium Nitrat;KNO3;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-CNO;Kalsium Nitrat;CaNO3;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BES;Besi;Fe;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-MNP;Mangan Fosfida;MnP;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-KSO;Kalium Sulfat;K2SO4;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-AEN;Aenonin;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-MAG;Magnesium;Mg;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-MAN;Mangan;Mn;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-TCU;Tembaga;Cu;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-SZN;Seng;Zn;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-ISO;Isoren;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-AMO;Amonium;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-IOD;Iodine ;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-MET;Methylene Blue (Methylthioninium Chloride);;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-EOS;Eosin 0,5% ;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-AQU;Aquades;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-BAP;6-Benzylaminopurine (BAP);;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-PRO;Probiotik;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-PHD;Plastik HD;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-TIS;Tissue;;;bhp;Lainnya;0;pcs;;Agroteknologi;1;1
706-TER;Terasi;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-LBK;Label Kertas;;;bhp;Lainnya;0;pcs;;Agroteknologi;1;1
706-DET;Deterjen;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-DED;Dedak ;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BKG;Benih Kangkung;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BBD;Benih Bawang Daun;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BBY;Benih Bayam;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BBM;Benih Bayam Merah;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BSL;Benih Seledri;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BMN;Benih Mentimun;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BMH;Benih Mentimun Hibrida;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BSD;Benih Selada;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BCR;Benih Cabai Rawit;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BSW;Benih Sawi;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BPC;Benih Pakcoy;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BSM;Benih Selada Merah;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BTM;Benih Tomat;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BKK;Benih Kembang Kol;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BBC;Benih Buncis;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BTC;Benih Tomat Ceri;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BCB;Benih Cabai Besar;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BJM;Benih Jagung Manis;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-KMG;Kemangi;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-TSP;TSP;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-PPK-1;Pupuk Kandang;;;bhp;Lainnya;0;karung;;Agroteknologi;1;1
706-TNH;Tanah;;;bhp;Lainnya;0;karung;;Agroteknologi;1;1
706-CCP;Cocopeat;;;bhp;Padatan;5000;g;;Agroteknologi;1;1
706-SBK;Sekam Bakar;;;bhp;Lainnya;0;Karung;;Agroteknologi;1;1
706-KSC;Kascing;;;bhp;Lainnya;0;Karung;;Agroteknologi;1;1
706-TOB;TOB;;;bhp;Lainnya;0;pcs;;Agroteknologi;1;1
706-MJK;Mulsa Juara K;;;bhp;Lainnya;0;pcs;;Agroteknologi;1;1
706-GUA;Guano;;;bhp;Lainnya;0;pcs;;Agroteknologi;1;1
706-GAB;Gabah;;;bhp;Lainnya;0;Karung;;Agroteknologi;1;1
706-PHU;pH Universal;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-PPK-2;Kompos;;;bhp;Lainnya;0;karung;;Agroteknologi;1;1
706-KSR;Kertas Saring;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-PDA;Media Potato Dextrose Agar;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-AGR;Agar Lokal;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-ASK;Arang Sekam ;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-HNO;Asam Nitrat;HNO3;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BFR-1;Buffer 7;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-BFR-2;Buffer 4;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-DEX;Dextrose;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-KAN;Kalsium Amonium Nitrat;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-FEE;Fe - EDTA;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-MKP;Monokalium Posfat (MKP);KH2PO4;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-ASF;Amonium Sulfat;(NH4)2SO4;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-MGS;Magnesium Sulfat;MgSO4;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-CUS;Tembaga Sulfat;CuSO4;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-ZNS;Seng Sulfat;ZnSO4;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-HBO;Asam Borat;H3BO3;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-AHM;Amonium Hepta Molibdat;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-ASS;Asam Sitrat;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-NAA;Naphthalene Acetic Acid (NAA);;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-PPM;PPM;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-NOH;Natrium Hidroksida;NaOH;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-CAA;Arang/Carbon Aktif;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BAG;Bakterisida Agrept;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-SUC;Sukrosa;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-IBA;Indole Butyric Acid (IBA);;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-KCL;Kalium Klorida;KCl;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-AAG;Asam Asetat Glasial;;;bhp;Lainnya;0;botol;;Agroteknologi;1;1
706-AAS;Asam Asetat;;;bhp;Lainnya;0;botol;;Agroteknologi;1;1
706-PAC;Paclobutrazol;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-CAM;Citric Acid Monohydrate;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-LGL;Lugol;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-MER;Mercuri;;;bhp;Lainnya;0;botol;;Agroteknologi;1;1
706-IAA;Indole Acetid Acid;;;bhp;Lainnya;0;botol;;Agroteknologi;1;1
706-HAK;Hormon Akar;;;bhp;Lainnya;0;botol;;Agroteknologi;1;1
706-KOH;Kalium Hidroksida;KOH;;bhp;Lainnya;0;botol;;Agroteknologi;1;1
706-BBA;Benih Bunga;;;bhp;Lainnya;0;bks;;Agroteknologi;1;1
706-BUB;Benih Ubi;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BKT;Benih Kentang;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BBK;Bahan Bakar;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-BBT;Bibit;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-PLY;Polybag;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-BTR;Baterai;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-KPS;Kapas;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-KRG;Karung;;;bhp;Lainnya;0;pcs;;Agroteknologi;1;1
706-GLM;Glumon;;;bhp;Lainnya;0;botol;;Agroteknologi;1;1
706-BTN;Benih Tanaman;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-BTA;Bahan Tanam;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-PPK-3;Pupuk Kimia;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-PES;Pestisida;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BHK;Bahan Kimia;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-MBK;Media Bakteri;;;bhp;Lainnya;0;botol;;Agroteknologi;1;1
706-MJM;Media Jamur;;;bhp;Lainnya;0;botol;;Agroteknologi;1;1
706-BMM;Biakan Murni Mikroorganisme;;;bhp;Lainnya;0;petri;;Agroteknologi;1;1
706-BFG;Biakan fungi;;;bhp;Lainnya;0;petri;;Agroteknologi;1;1
706-MTN;Media Tanam;;;bhp;Lainnya;0;karung;;Agroteknologi;1;1
706-ABM;AB MIX;;;bhp;Lainnya;0;paket;;Agroteknologi;1;1
706-HER;Herbisida;;;bhp;Lainnya;0;botol;;Agroteknologi;1;1
706-ICR;Insektisida Curacron;;;bhp;Lainnya;0;Botol;;Agroteknologi;1;1
706-INM;Inokulum Mikoriza;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-PPK-4;Pupuk Urea;;;bhp;Padatan;2000;g;;Agroteknologi;1;1
706-PPK-5;Pupuk Phonska;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BJV;Benih Jagung 4 Varietas;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BCV;Benih Cabai 6 Varietas;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BKP;Benih Kacang Panjang;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BKA;Benih Kailan;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BKU;Benih Kubis;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BSA;Benih Semangka;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BML;Benih Melon;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BRS;Benih Rosela;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-TRA;Tray Semai;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-PPU-1;Plastik Putih Ukuran 1kg;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-PPU-2;Plastik Putih Ukuran 1/2 kg;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-ZIP;Plastik Zip Kecil;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-PKK;Plastik Kotak;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-FUN;Fungisida;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-FUR;Furadan;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BKI;Benih Kacang Kedelai;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BKH;Benih Kacang Hijau;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BSY;Benih Sayuran;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-AMP;AMP Samsons;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-GUN;Gunting;;;bhp;Lainnya;0;pcs;;Agroteknologi;1;1
706-CUP;Cup;;;bhp;Lainnya;0;Pak;;Agroteknologi;1;1
706-BBG;Benih Bengkuang;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BBB;Benih Bawang Bombay;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BLD;Benih Lada;;;bhp;Lainnya;0;pcs;;Agroteknologi;1;1
706-ZPT;ZPT;;;bhp;Lainnya;0;pak;;Agroteknologi;1;1
706-BPS;Benih Pisang;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BPP;Benih Pepaya;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-SEL;Seliwanoff;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-BUJ;Benih Ubi Jalar;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BAL;Benih Apel;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BKM;Benih Kemiri;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BMG;Benih Mangga;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-AOL;Asam Oleat;;;bhp;Cairan;200;ml;;Agroteknologi;1;1
706-TRI;Trietanolamine;;;bhp;Cairan;0;ml;;Agroteknologi;1;1
706-BEE;Beez Wax;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BPI;Benih Pir;;;bhp;Padatan;0;g;;Agroteknologi;1;1
706-BJU;Benih Jambu;;;bhp;Padatan;0;g;;Agroteknologi;1;1
700-TRD;Treadmill;Kondisi Baru;Speed;inventaris;Lainnya;1;Unit;Lobby;Umum;1;1
